ID_robustez,Categoria_real,Categoria_original_guardada,Transformacion,Texto_original,Texto_transformado,Categoria_predicha,Segunda_categoria,Puntuacion_ganadora,Puntuacion_segunda,Margen_decision,Terminos_activos,Longitud_caracteres,Longitud_palabras,Categoria_predicha_base,Margen_base,Terminos_base,Prediccion_estable,Prediccion_correcta,Cambio_margen,Cambio_terminos
294,backend,backend,Original,i broke my spa fallback by renaming a fastapi parameter to satisfy a linter i broke my spa fallback by renaming a fastapi parameter to satisfy a linter the dashboard spa fallback was returning 422 on every route that was not an api route. fastapi kept. spa api spa api,i broke my spa fallback by renaming a fastapi parameter to satisfy a linter i broke my spa fallback by renaming a fastapi parameter to satisfy a linter the dashboard spa fallback was returning 422 on every route that was not an api route. fastapi kept. spa api spa api,backend,frontend,0.8414645934963846,-0.526245906600312,1.3677105000966967,31,268,50,backend,1.3677105000966967,31,True,True,0.0,0
294,backend,backend,Minúsculas,i broke my spa fallback by renaming a fastapi parameter to satisfy a linter i broke my spa fallback by renaming a fastapi parameter to satisfy a linter the dashboard spa fallback was returning 422 on every route that was not an api route. fastapi kept. spa api spa api,i broke my spa fallback by renaming a fastapi parameter to satisfy a linter i broke my spa fallback by renaming a fastapi parameter to satisfy a linter the dashboard spa fallback was returning 422 on every route that was not an api route. fastapi kept. spa api spa api,backend,frontend,0.8414645934963846,-0.526245906600312,1.3677105000966967,31,268,50,backend,1.3677105000966967,31,True,True,0.0,0
294,backend,backend,Mayúsculas,i broke my spa fallback by renaming a fastapi parameter to satisfy a linter i broke my spa fallback by renaming a fastapi parameter to satisfy a linter the dashboard spa fallback was returning 422 on every route that was not an api route. fastapi kept. spa api spa api,I BROKE MY SPA FALLBACK BY RENAMING A FASTAPI PARAMETER TO SATISFY A LINTER I BROKE MY SPA FALLBACK BY RENAMING A FASTAPI PARAMETER TO SATISFY A LINTER THE DASHBOARD SPA FALLBACK WAS RETURNING 422 ON EVERY ROUTE THAT WAS NOT AN API ROUTE. FASTAPI KEPT. SPA API SPA API,backend,frontend,-0.49800431128284617,-0.6012351134432145,0.10323080216036828,1,268,50,backend,1.3677105000966967,31,True,True,-1.2644796979363284,-30
294,backend,backend,Sin puntuación,i broke my spa fallback by renaming a fastapi parameter to satisfy a linter i broke my spa fallback by renaming a fastapi parameter to satisfy a linter the dashboard spa fallback was returning 422 on every route that was not an api route. fastapi kept. spa api spa api,i broke my spa fallback by renaming a fastapi parameter to satisfy a linter i broke my spa fallback by renaming a fastapi parameter to satisfy a linter the dashboard spa fallback was returning 422 on every route that was not an api route fastapi kept spa api spa api,backend,frontend,0.8414645934963846,-0.526245906600312,1.3677105000966967,31,266,50,backend,1.3677105000966967,31,True,True,0.0,0
294,backend,backend,Espacios irregulares,i broke my spa fallback by renaming a fastapi parameter to satisfy a linter i broke my spa fallback by renaming a fastapi parameter to satisfy a linter the dashboard spa fallback was returning 422 on every route that was not an api route. fastapi kept. spa api spa api,i   broke   my   spa   fallback   by   renaming   a   fastapi   parameter   to   satisfy   a   linter   i   broke   my   spa   fallback   by   renaming   a   fastapi   parameter   to   satisfy   a   linter   the   dashboard   spa   fallback   was   returning   422   on   every   route   that   was   not   an   api   route.   fastapi   kept.   spa   api   spa   api,backend,frontend,0.8414645934963846,-0.526245906600312,1.3677105000966967,31,366,50,backend,1.3677105000966967,31,True,True,0.0,0
294,backend,backend,Errores tipográficos,i broke my spa fallback by renaming a fastapi parameter to satisfy a linter i broke my spa fallback by renaming a fastapi parameter to satisfy a linter the dashboard spa fallback was returning 422 on every route that was not an api route. fastapi kept. spa api spa api,i broke my spa fallback by reanming a fastapi paarmeter to satisfy a litner i broke my spa fallback by reanming a fastapi paarmeter to satisfy a litner the dashboard spa fallback was returning 422 on every route that was not an api rotue. fastapi kept. spa api spa api,backend,frontend,0.9438039049716237,-0.5107935958654033,1.454597500837027,30,268,50,backend,1.3677105000966967,31,True,True,0.0868870007403304,-1
294,backend,backend,Texto truncado,i broke my spa fallback by renaming a fastapi parameter to satisfy a linter i broke my spa fallback by renaming a fastapi parameter to satisfy a linter the dashboard spa fallback was returning 422 on every route that was not an api route. fastapi kept. spa api spa api,i broke my spa fallback by renaming a fastapi parameter to satisfy a linter i broke my spa fallback by renaming a fastapi parameter to,backend,frontend,0.5498809054898358,-0.3764552258592151,0.9263361313490509,12,134,25,backend,1.3677105000966967,31,True,True,-0.4413743687476458,-19
294,backend,backend,Ruido web,i broke my spa fallback by renaming a fastapi parameter to satisfy a linter i broke my spa fallback by renaming a fastapi parameter to satisfy a linter the dashboard spa fallback was returning 422 on every route that was not an api route. fastapi kept. spa api spa api,i broke my spa fallback by renaming a fastapi parameter to satisfy a linter i broke my spa fallback by renaming a fastapi parameter to satisfy a linter the dashboard spa fallback was returning 422 on every route that was not an api route. fastapi kept. spa api spa api https://example.com #tech 🚀,backend,frontend,1.0158704937073741,-0.548655928450868,1.564526422158242,33,296,53,backend,1.3677105000966967,31,True,True,0.1968159220615453,2
497,backend,backend,Original,your microservices aren t microservices your microservices aren t microservices you split your monolith into 12 services. you re doing microservices now. except every service calls.,your microservices aren t microservices your microservices aren t microservices you split your monolith into 12 services. you re doing microservices now. except every service calls.,backend,datascience,1.1197863530518553,-0.8488822346158459,1.9686685876677013,18,181,26,backend,1.9686685876677013,18,True,True,0.0,0
497,backend,backend,Minúsculas,your microservices aren t microservices your microservices aren t microservices you split your monolith into 12 services. you re doing microservices now. except every service calls.,your microservices aren t microservices your microservices aren t microservices you split your monolith into 12 services. you re doing microservices now. except every service calls.,backend,datascience,1.1197863530518553,-0.8488822346158459,1.9686685876677013,18,181,26,backend,1.9686685876677013,18,True,True,0.0,0
